EUR/GBP,Close,High,Low
25/07/2012,0.7841,0.7854,0.7776
26/07/2012,0.7827,0.786,0.7814
27/07/2012,0.7827,0.7873,0.7798
30/07/2012,0.7809,0.7839,0.779
31/07/2012,0.7849,0.7865,0.7796
01/08/2012,0.7868,0.7894,0.7842
02/08/2012,0.785,0.7913,0.7822
03/08/2012,0.7914,0.7924,0.7844
06/08/2012,0.7946,0.7963,0.7914
07/08/2012,0.7934,0.796,0.7921
08/08/2012,0.7896,0.7948,0.7878
09/08/2012,0.7864,0.7901,0.7853
10/08/2012,0.7845,0.788,0.7827
13/08/2012,0.7861,0.7874,0.7828
14/08/2012,0.7857,0.7884,0.7852
15/08/2012,0.7832,0.788,0.7821
16/08/2012,0.7854,0.786,0.7813
17/08/2012,0.7852,0.788,0.7834
20/08/2012,0.7857,0.7871,0.7832
21/08/2012,0.79,0.7908,0.7855
22/08/2012,0.7892,0.791,0.7877
23/08/2012,0.7917,0.7924,0.7884
24/08/2012,0.7917,0.7933,0.789
27/08/2012,0.7911,0.7929,0.7902
28/08/2012,0.794,0.7955,0.7907
29/08/2012,0.7911,0.7946,0.7905
30/08/2012,0.7923,0.7936,0.79
31/08/2012,0.792,0.7956,0.7916
03/09/2012,0.7926,0.7934,0.7906
04/09/2012,0.7916,0.7943,0.7901
05/09/2012,0.792,0.793,0.7886
06/09/2012,0.793,0.7946,0.7905
07/09/2012,0.7998,0.8002,0.7924
10/09/2012,0.7981,0.8011,0.7975
11/09/2012,0.8,0.8006,0.7965
12/09/2012,0.8006,0.803,0.7969
13/09/2012,0.8039,0.8044,0.7991
14/09/2012,0.8084,0.8115,0.8035
17/09/2012,0.8068,0.8102,0.8058
18/09/2012,0.8024,0.8073,0.8019
19/09/2012,0.8048,0.806,0.8015
20/09/2012,0.7997,0.8046,0.7986
21/09/2012,0.7992,0.801,0.7973
24/09/2012,0.7971,0.7996,0.7955
25/09/2012,0.7967,0.7986,0.7934
26/09/2012,0.7957,0.797,0.794
27/09/2012,0.7953,0.7966,0.7924
28/09/2012,0.7962,0.7995,0.7948
01/10/2012,0.7987,0.8004,0.7943
02/10/2012,0.8002,0.802,0.7979
03/10/2012,0.8026,0.8033,0.7996
04/10/2012,0.804,0.8052,0.8022
05/10/2012,0.8071,0.8076,0.8028
08/10/2012,0.8089,0.8095,0.8059
09/10/2012,0.8049,0.81,0.804
10/10/2012,0.8053,0.8062,0.8029
11/10/2012,0.8056,0.8071,0.8023
12/10/2012,0.8058,0.8087,0.8048
15/10/2012,0.8057,0.808,0.804
16/10/2012,0.8097,0.8102,0.8054
17/10/2012,0.8125,0.8137,0.8108
18/10/2012,0.8138,0.8139,0.8108
19/10/2012,0.8133,0.8147,0.812
22/10/2012,0.8151,0.8165,0.8123
23/10/2012,0.8137,0.8161,0.8122
24/10/2012,0.8087,0.8148,0.8075
25/10/2012,0.8027,0.81,0.8023
26/10/2012,0.8037,0.804,0.7999
29/10/2012,0.8046,0.8056,0.8024
30/10/2012,0.8063,0.8072,0.804
31/10/2012,0.8031,0.8075,0.8026
01/11/2012,0.8022,0.8041,0.8
02/11/2012,0.8011,0.8028,0.7997
05/11/2012,0.8006,0.8012,0.7986
06/11/2012,0.8009,0.802,0.798
07/11/2012,0.7982,0.8031,0.7971
08/11/2012,0.7976,0.7995,0.796
09/11/2012,0.7996,0.7999,0.7967
12/11/2012,0.8003,0.802,0.7989
13/11/2012,0.8002,0.8008,0.7969
14/11/2012,0.8036,0.8049,0.8001
15/11/2012,0.8054,0.8065,0.803
16/11/2012,0.8016,0.806,0.8007
19/11/2012,0.8052,0.8055,0.8014
20/11/2012,0.8047,0.8056,0.8027
21/11/2012,0.8038,0.8051,0.8006
22/11/2012,0.8079,0.8085,0.8039
23/11/2012,0.8093,0.811,0.8074
26/11/2012,0.8093,0.8109,0.8081
27/11/2012,0.8076,0.8113,0.8057
28/11/2012,0.8077,0.8086,0.8062
29/11/2012,0.8087,0.8113,0.8079
30/11/2012,0.8116,0.8132,0.8087
03/12/2012,0.8111,0.8131,0.8103
04/12/2012,0.8133,0.8139,0.81
05/12/2012,0.8127,0.8147,0.811
06/12/2012,0.8077,0.8125,0.8066
07/12/2012,0.806,0.8082,0.8045
10/12/2012,0.8049,0.8058,0.8032
11/12/2012,0.807,0.8077,0.8044
12/12/2012,0.8093,0.8101,0.806
13/12/2012,0.8116,0.812,0.809
14/12/2012,0.8141,0.8145,0.8096
17/12/2012,0.8121,0.8155,0.8109
18/12/2012,0.8137,0.8145,0.8115
19/12/2012,0.8149,0.817,0.8128
20/12/2012,0.8135,0.8161,0.8117
21/12/2012,0.815,0.8154,0.8115
24/12/2012,0.8174,0.8184,0.8148
25/12/2012,0.8203,0.8215,0.8161
26/12/2012,0.8195,0.8209,0.8167
27/12/2012,0.8218,0.8224,0.8183
28/12/2012,0.8176,0.8226,0.8168
31/12/2012,0.8121,0.8187,0.8101
01/01/2013,0.8121,0.813,0.8112
02/01/2013,0.8111,0.8152,0.8104
03/01/2013,0.8109,0.812,0.8085
04/01/2013,0.8136,0.8144,0.8095
07/01/2013,0.8138,0.815,0.8104
08/01/2013,0.8147,0.8161,0.8137
