"Date","Open","High","Low","Close","a","b"
"09/09/2008",12529.96,12529.96,12335.74,12400.65,12456.2375891446,"ETS(A,N,N)"
"10/09/2008",12249.14,12404.67,12159.97,12346.63,12450.8847270623,"ETS(M,A,N)"
"11/09/2008",12237.52,12259.02,12081.51,12102.5,12215.229399455,"ETS(A,N,N)"
"12/09/2008",12256.78,12277.57,12059.09,12214.76,12216.2145017528,"ETS(A,N,N)"
"16/09/2008",12028.45,12028.45,11551.4,11609.72,11810.4230250113,"ETS(A,N,N)"
"17/09/2008",11737.62,11880.03,11708.7,11749.79,11770.9008867644,"ETS(A,N,N)"
"18/09/2008",11576.94,11577.88,11301.46,11489.3,11457.0673004279,"ETS(A,A,N)"
"19/09/2008",11631.6,11920.86,11615.2,11920.86,11683.21634552,"ETS(A,A,N)"
"22/09/2008",12037.89,12263.95,12037.89,12090.59,12004.5705853963,"ETS(A,N,N)"
"24/09/2008",12031.98,12115.03,11904.6,12115.03,12091.7095250064,"ETS(A,N,N)"
"25/09/2008",11925.71,12025.41,11835.28,12006.53,12029.4623210063,"ETS(A,N,N)"
"26/09/2008",12026.34,12082.64,11788.73,11893.16,11934.5011587553,"ETS(A,N,N)"
"29/09/2008",11883.25,12062.67,11721.05,11743.61,11797.2284222899,"ETS(A,N,N)"
"30/09/2008",11565.7,11565.7,11160.83,11259.86,11372.7629138398,"ETS(A,N,N)"
"01/10/2008",11396.61,11456.64,11314.28,11368.26,11367.6424539279,"ETS(A,N,N)"
"02/10/2008",11423.13,11452.39,11143.79,11154.76,11197.3258414036,"ETS(A,N,N)"
"03/10/2008",11052.1,11099.73,10938.14,10938.14,10982.9797694061,"ETS(A,N,N)"
"06/10/2008",10817.27,10839.5,10374.38,10473.09,10533.3661813079,"ETS(A,N,N)"
"07/10/2008",10328.54,10363.14,9916.21,10155.9,10174.0457980392,"ETS(A,N,N)"
"08/10/2008",10011.64,10011.64,9159.81,9203.32,8875.29479469395,"ETS(A,A,N)"
"09/10/2008",9168.16,9443.45,9100.93,9157.49,8719.95308040235,"ETS(A,A,N)"
"10/10/2008",9016.34,9016.34,8115.41,8276.43,7842.96401967408,"ETS(A,A,N)"
"14/10/2008",8407.94,9455.62,8407.94,9447.57,9330.8162995278,"ETS(A,N,N)"
"15/10/2008",9390.5,9601.3,9269.49,9547.47,9534.44039889624,"ETS(A,N,N)"
