Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
26/07/2000,16553.57,16563.71,16400.22,16502.61,26.470000000001164,-264.3700000000026,-172.0799999999981,16644.066666666666,16780.726666666666,16913.376666666667,17071.823333333334,16573.59,16547.12,16811.49,140.0,16502.61,16384.344847532255
27/07/2000,16457.7,16457.7,16027.34,16182.01,-70.97999999999956,26.470000000001164,-264.3700000000026,16541.106666666667,16644.066666666666,16780.726666666666,16913.376666666667,16502.61,16573.59,16547.12,141.0,16182.01,16338.48916737453
28/07/2000,16134.19,16134.19,15815.53,15838.57,-320.60000000000036,-70.97999999999956,26.470000000001164,16419.403333333332,16541.106666666667,16644.066666666666,16780.726666666666,16182.01,16502.61,16573.59,142.0,15838.57,16000.430609990817
31/07/2000,15821.31,15854.66,15394.71,15727.49,-343.4400000000005,-320.60000000000036,-70.97999999999956,16174.396666666667,16419.403333333332,16541.106666666667,16644.066666666666,15838.57,16182.01,16502.61,143.0,15727.49,15659.777598203242
01/08/2000,15784.6,16099.67,15773.72,16099.67,-111.07999999999993,-343.4400000000005,-320.60000000000036,15916.023333333333,16174.396666666667,16419.403333333332,16541.106666666667,15727.49,15838.57,16182.01,144.0,16099.67,15554.170840217612
02/08/2000,16118.8,16211.55,16054.66,16206.19,372.1800000000003,-111.07999999999993,-343.4400000000005,15888.576666666666,15916.023333333333,16174.396666666667,16419.403333333332,16099.67,15727.49,15838.57,145.0,16206.19,15910.713539755105
03/08/2000,16185.72,16185.72,15725.98,15814.44,106.52000000000044,372.1800000000003,-111.07999999999993,16011.116666666667,15888.576666666666,15916.023333333333,16174.396666666667,16206.19,16099.67,15727.49,146.0,15814.44,16028.524263745403
04/08/2000,15799.99,15897.25,15557.33,15667.36,-391.75,106.52000000000044,372.1800000000003,16040.1,16011.116666666667,15888.576666666666,15916.023333333333,15814.44,16206.19,16099.67,147.0,15667.36,15627.536797965635
07/08/2000,15666.81,16039.4,15666.81,16002.71,-147.07999999999993,-391.75,106.52000000000044,15895.996666666668,16040.1,16011.116666666667,15888.576666666666,15667.36,15814.44,16206.19,148.0,16002.71,15478.652590461705
08/08/2000,16044.81,16073.2,15755.22,15820.11,335.34999999999854,-147.07999999999993,-391.75,15828.17,15895.996666666668,16040.1,16011.116666666667,16002.71,15667.36,15814.44,149.0,15820.11,15836.069094378921
09/08/2000,15873.42,16034.6,15778.86,16034.6,-182.59999999999854,335.34999999999854,-147.07999999999993,15830.06,15828.17,15895.996666666668,16040.1,15820.11,16002.71,15667.36,150.0,16034.6,15658.593862489963
10/08/2000,16050.87,16053.61,15946.6,15975.65,214.48999999999978,-182.59999999999854,335.34999999999854,15952.473333333333,15830.06,15828.17,15895.996666666668,16034.6,15820.11,16002.71,151.0,15975.65,15820.33875398957
11/08/2000,16008.06,16125.66,15888.56,16117.5,-58.95000000000073,214.48999999999978,-182.59999999999854,15943.453333333333,15952.473333333333,15830.06,15828.17,15975.65,16034.6,15820.11,152.0,16117.5,15818.150229023648
14/08/2000,16109.95,16227.35,16055.07,16153.91,141.85000000000036,-58.95000000000073,214.48999999999978,16042.583333333334,15943.453333333333,15952.473333333333,15830.06,16117.5,15975.65,16034.6,153.0,16153.91,15932.493488927128
15/08/2000,16181.5,16309.5,16131.48,16298.29,36.409999999999854,141.85000000000036,-58.95000000000073,16082.353333333333,16042.583333333334,15943.453333333333,15952.473333333333,16153.91,16117.5,15975.65,154.0,16298.29,15984.892308250017
16/08/2000,16300.49,16409.13,16249.94,16356.03,144.38000000000102,36.409999999999854,141.85000000000036,16189.9,16082.353333333333,16042.583333333334,15943.453333333333,16298.29,16153.91,16117.5,155.0,16356.03,16121.769247779894
17/08/2000,16356.14,16356.14,16079.74,16161.03,57.73999999999978,144.38000000000102,36.409999999999854,16269.410000000002,16189.9,16082.353333333333,16042.583333333334,16356.03,16298.29,16153.91,156.0,16161.03,16187.441448959376
18/08/2000,16156.64,16280.49,16118.89,16280.49,-195.0,57.73999999999978,144.38000000000102,16271.783333333333,16269.410000000002,16189.9,16082.353333333333,16161.03,16356.03,16298.29,157.0,16280.49,15990.623000428925
21/08/2000,16249.94,16257.34,15945.92,16040.18,119.45999999999913,-195.0,57.73999999999978,16265.85,16271.783333333333,16269.410000000002,16189.9,16280.49,16161.03,16356.03,158.0,16040.18,16095.197523969779
22/08/2000,16075.52,16454.74,15985.2,16454.74,-240.3099999999995,119.45999999999913,-195.0,16160.566666666666,16265.85,16271.783333333333,16269.410000000002,16040.18,16280.49,16161.03,159.0,16454.74,15888.872593645334
23/08/2000,16446.47,16544.8,16351.42,16436.65,414.5600000000013,-240.3099999999995,119.45999999999913,16258.470000000001,16160.566666666666,16265.85,16271.783333333333,16454.74,16040.18,16280.49,160.0,16436.65,16257.35147909306
24/08/2000,16433.36,16778.02,16433.36,16670.82,-18.090000000000146,414.5600000000013,-240.3099999999995,16310.523333333336,16258.470000000001,16160.566666666666,16265.85,16436.65,16454.74,16040.18,161.0,16670.82,16286.768004703987
25/08/2000,16718.54,16926.22,16603.69,16911.33,234.16999999999825,-18.090000000000146,414.5600000000013,16520.736666666668,16310.523333333336,16258.470000000001,16160.566666666666,16670.82,16436.65,16454.74,162.0,16911.33,16479.560952950244
28/08/2000,16895.55,17209.16,16840.51,17181.12,240.51000000000204,234.16999999999825,-18.090000000000146,16672.933333333334,16520.736666666668,16310.523333333336,16258.470000000001,16911.33,16670.82,16436.65,163.0,17181.12,16762.14060605316
29/08/2000,17165.91,17210.8,17004.01,17141.75,269.78999999999724,240.51000000000204,234.16999999999825,16921.09,16672.933333333334,16520.736666666668,16310.523333333336,17181.12,16911.33,16670.82,164.0,17141.75,17037.62502996571
30/08/2000,17131.36,17131.36,16895.36,16901.67,-39.36999999999898,269.78999999999724,240.51000000000204,17078.066666666666,16921.09,16672.933333333334,16520.736666666668,17141.75,17181.12,16911.33,165.0,16901.67,16988.174890445327
